t1,V1,t2,V2
0,-8.00E-01,0,8.00E-02
4.00E-04,-8.80E-01,4.00E-04,8.00E-02
8.00E-04,-9.60E-01,8.00E-04,8.00E-02
1.20E-03,-8.80E-01,1.20E-03,8.00E-02
1.60E-03,-9.60E-01,1.60E-03,8.00E-02
2.00E-03,-9.60E-01,2.00E-03,8.00E-02
2.40E-03,-9.60E-01,2.40E-03,8.00E-02
2.80E-03,-1.04,2.80E-03,8.00E-02
3.20E-03,-1.04,3.20E-03,8.00E-02
3.60E-03,-1.04,3.60E-03,8.00E-02
4.00E-03,-1.12,4.00E-03,8.00E-02
4.40E-03,-1.12,4.40E-03,8.00E-02
4.80E-03,-1.12,4.80E-03,8.00E-02
5.20E-03,-1.1999999,5.20E-03,8.00E-02
5.60E-03,-1.1999999,5.60E-03,8.00E-02
6.00E-03,-1.1999999,6.00E-03,8.00E-02
6.40E-03,-1.28,6.40E-03,8.00E-02
6.80E-03,-1.28,6.80E-03,8.00E-02
7.20E-03,-1.36,7.20E-03,8.00E-02
7.60E-03,-1.36,7.60E-03,0
8.00E-03,-1.36,8.00E-03,8.00E-02
8.40E-03,-1.4399999,8.40E-03,8.00E-02
8.80E-03,-1.4399999,8.80E-03,8.00E-02
9.20E-03,-1.52,9.20E-03,8.00E-02
9.60E-03,-1.52,9.60E-03,8.00E-02
1.00E-02,-1.52,1.00E-02,8.00E-02
1.04E-02,-1.5999999,1.04E-02,8.00E-02
1.08E-02,-1.52,1.08E-02,8.00E-02
1.12E-02,-1.5999999,1.12E-02,8.00E-02
1.16E-02,-1.5999999,1.16E-02,8.00E-02
1.20E-02,-1.6799999,1.20E-02,8.00E-02
1.24E-02,-1.6799999,1.24E-02,8.00E-02
1.28E-02,-1.76,1.28E-02,8.00E-02
1.32E-02,-1.76,1.32E-02,8.00E-02
1.36E-02,-1.76,1.36E-02,8.00E-02
1.40E-02,-1.76,1.40E-02,8.00E-02
1.44E-02,-1.8399999,1.44E-02,8.00E-02
1.48E-02,-1.92,1.48E-02,8.00E-02
1.52E-02,-1.8399999,1.52E-02,8.00E-02
1.56E-02,-1.92,1.56E-02,8.00E-02
1.60E-02,-1.92,1.60E-02,8.00E-02
1.64E-02,-1.92,1.64E-02,8.00E-02
1.68E-02,-1.92,1.68E-02,8.00E-02
1.72E-02,-1.92,1.72E-02,8.00E-02
1.76E-02,-1.8399999,1.76E-02,8.00E-02
1.80E-02,-1.8399999,1.80E-02,8.00E-02
1.84E-02,-1.8399999,1.84E-02,8.00E-02
1.88E-02,-1.76,1.88E-02,8.00E-02
1.92E-02,-1.76,1.92E-02,8.00E-02
1.96E-02,-1.76,1.96E-02,8.00E-02
2.00E-02,-1.76,2.00E-02,8.00E-02
2.04E-02,-1.6799999,2.04E-02,8.00E-02
2.08E-02,-1.6799999,2.08E-02,0
2.12E-02,-1.52,2.12E-02,8.00E-02
2.16E-02,-1.5999999,2.16E-02,8.00E-02
2.20E-02,-1.52,2.20E-02,8.00E-02
2.24E-02,-1.52,2.24E-02,8.00E-02
2.28E-02,-1.52,2.28E-02,8.00E-02
2.32E-02,-1.52,2.32E-02,8.00E-02
2.36E-02,-1.4399999,2.36E-02,8.00E-02
2.40E-02,-1.36,2.40E-02,8.00E-02
2.44E-02,-1.36,2.44E-02,8.00E-02
2.48E-02,-1.36,2.48E-02,8.00E-02
2.52E-02,-1.28,2.52E-02,8.00E-02
2.56E-02,-1.36,2.56E-02,8.00E-02
2.60E-02,-1.28,2.60E-02,8.00E-02
2.64E-02,-1.28,2.64E-02,8.00E-02
2.68E-02,-1.1999999,2.68E-02,8.00E-02
2.72E-02,-1.1999999,2.72E-02,8.00E-02
