Vo,VR,Vd,I
-5,0,-5,-0.008
-4.8,0,-4.8,-0.0068
-4.6,0,-4.6,-0.0056
-4.4,0,-4.4,-0.0044
-4.2,0,-4.2,-0.0032
-4,0,-4,-0.002
-3.8,0,-3.8,-0.0015
-3.6,0,-3.6,-0.001
-3.4,0,-3.4,-0.0007
-3.2,0,-3.2,-0.0005
-3,0,-3,-0.00035
-2.8,0,-2.8,-0.00022
-2.6,0,-2.6,-0.00018
-2.4,0,-2.4,-0.00008
-2.2,0,-2.2,0
-2,0,-2,0
-1.8,0,-1.8,0
-1.6,0,-1.6,0
-1.4,0,-1.4,0
-1.2,0,-1.2,0
-1,0,-1,0
-0.8,0,-0.8,0
-0.6,0,-0.6,0
-0.4,0,-0.4,0
-0.2,0,-0.2,0
0,0,0,0
0.1,0,0.1,0
0.2,3.00E-04,0.1997,0.0000003
0.3,0.0019,0.2981,0.0000019
0.4,0.0113,0.3887,0.0000113
0.5,0.044,0.456,0.000044
0.6,0.102,0.498,0.000102
0.7,0.174,0.526,0.000174
0.8,0.256,0.544,0.000256
0.9,0.346,0.554,0.000346
1,0.43,0.57,0.00043
1.25,0.663,0.587,0.000663
1.5,0.895,0.605,0.000895
1.75,1.137,0.613,0.001137
2,1.36,0.64,0.00136
3,2.34,0.66,0.00234
4,3.33,0.67,0.00333
5,4.32,0.68,0.00432
6,5.31,0.69,0.00531
7,6.29,0.71,0.00629
8,7.28,0.72,0.00728
9,8.28,0.72,0.00828
10,9.27,0.73,0.00927
