Vin,VR,Vd,I
-30,-0.0153,-29.9847,-0.0000153
-25,-0.0104,-24.9896,-0.0000104
-20,-0.0066,-19.9934,-0.0000066
-15,-0.005,-14.995,-0.000005
-10,-0.0037,-9.9963,-0.0000037
-4,0,-4,0
-3,0,-3,0
-2,0,-2,0
-1,0,-1,0
0,0,0,0
0.1,0.022,0.078,0.000022
0.2,8.80E-02,0.112,0.000088
0.3,0.17,0.13,0.00017
0.4,0.259,0.141,0.000259
0.5,0.351,0.149,0.000351
0.6,0.445,0.155,0.000445
0.7,0.539,0.161,0.000539
0.8,0.635,0.165,0.000635
0.9,0.729,0.171,0.000729
1,0.83,0.17,0.00083
2,1.802,0.198,0.001802
3,2.8,0.2,0.0028
4,3.8,0.2,0.0038
5,4.79,0.21,0.00479
